iter	Passed	Remaining
0	47	47001
1	47	23693
2	47	15894
3	48	11999
4	48	9663
5	48	8117
6	49	7003
7	49	6177
8	50	5527
9	50	5008
10	50	4580
11	51	4224
12	51	3921
13	52	3663
14	52	3439
15	52	3250
16	53	3077
17	53	2917
18	53	2778
19	54	2655
20	54	2543
21	54	2442
22	55	2348
23	55	2266
24	56	2185
25	56	2112
26	56	2046
27	57	1985
28	57	1927
29	57	1873
30	58	1822
31	58	1774
32	59	1730
33	59	1683
34	59	1646
35	60	1610
36	60	1574
37	60	1539
38	61	1507
39	61	1481
40	62	1456
41	62	1431
42	63	1406
43	63	1381
44	63	1356
45	64	1345
46	65	1327
47	65	1306
48	66	1285
49	66	1265
50	67	1253
51	67	1237
52	68	1218
53	68	1200
54	68	1182
55	69	1168
56	69	1154
57	69	1136
58	70	1122
59	70	1107
60	71	1094
61	71	1084
62	72	1077
63	73	1072
64	74	1064
65	74	1052
66	74	1041
67	75	1034
68	76	1031
69	77	1024
70	77	1015
71	78	1009
72	79	1005
73	79	996
74	79	985
75	80	975
76	80	967
77	81	958
78	81	950
79	82	944
80	82	936
81	83	929
82	83	921
83	83	913
84	84	905
85	84	898
86	85	898
87	86	892
88	86	887
89	87	884
90	88	881
91	88	874
92	89	868
93	89	861
94	89	855
95	90	851
96	92	858
97	93	856
98	93	849
99	93	844
100	94	836
101	94	831
102	94	826
103	95	821
104	95	816
105	96	810
106	96	808
107	97	803
108	97	797
109	97	792
110	98	787
111	98	782
112	98	777
113	99	772
114	100	773
115	101	773
116	102	770
117	102	768
118	103	768
119	104	769
120	106	770
121	106	767
122	106	762
123	107	758
124	107	752
125	107	748
126	108	744
127	108	739
128	109	736
129	109	733
130	109	729
131	110	724
132	110	720
133	110	716
134	111	712
135	111	708
136	111	705
137	112	700
138	112	696
139	112	692
140	113	689
141	113	686
142	113	683
143	114	680
144	115	678
145	115	675
146	115	672
147	116	671
148	117	669
149	118	668
150	118	666
151	118	663
152	119	660
153	119	657
154	119	654
155	120	651
156	120	648
157	121	646
158	121	643
159	122	640
160	122	638
161	122	635
162	123	632
163	123	629
164	123	627
165	124	624
166	124	621
167	125	619
168	125	617
169	126	615
170	126	614
171	127	615
172	128	613
173	129	613
174	130	613
175	130	611
176	130	609
177	132	612
178	133	610
179	133	608
180	133	605
181	134	603
182	134	601
183	135	599
184	135	597
185	135	594
186	136	592
187	136	590
188	136	587
189	137	585
190	137	583
191	138	581
192	138	580
193	139	578
194	139	575
195	139	573
196	140	572
197	140	570
198	141	568
199	141	566
200	143	569
201	143	567
202	144	565
203	144	564
204	146	568
205	146	566
206	147	564
207	148	564
208	148	563
209	149	561
210	149	559
211	150	558
212	150	557
213	151	555
214	151	553
215	151	551
216	152	549
217	152	547
218	153	545
219	153	543
220	154	544
221	155	544
222	156	544
223	157	544
224	158	544
225	158	542
226	159	543
227	160	542
228	161	542
229	161	542
230	162	540
231	162	538
232	163	537
233	163	535
234	163	533
235	164	531
236	164	530
237	165	528
238	165	526
239	165	525
240	166	524
241	166	522
242	167	521
243	167	519
244	168	518
245	168	516
246	169	515
247	169	514
248	170	514
249	171	513
250	171	511
251	171	510
252	172	508
253	172	507
254	173	507
255	174	505
256	174	504
257	174	502
258	175	501
259	175	500
260	176	498
261	176	497
262	177	496
263	177	495
264	178	493
265	178	492
266	178	491
267	179	489
268	179	488
269	179	486
270	180	485
271	180	483
272	181	483
273	182	482
274	182	482
275	183	482
276	184	482
277	186	484
278	186	482
279	188	485
280	189	484
281	189	483
282	190	481
283	190	480
284	190	478
285	191	477
286	191	475
287	191	474
288	192	473
289	192	471
290	193	470
291	193	469
292	194	468
293	194	466
294	194	465
295	195	464
296	195	462
297	195	461
298	196	461
299	197	459
300	197	458
301	197	457
302	198	456
303	198	455
304	199	454
305	199	452
306	200	451
307	200	450
308	202	452
309	202	451
310	203	450
311	203	449
312	204	447
313	204	446
314	204	445
315	205	444
316	206	443
317	206	442
318	206	441
319	207	440
320	207	439
321	208	438
322	208	436
323	208	435
324	209	434
325	209	433
326	211	435
327	212	434
328	213	434
329	213	434
330	214	433
331	215	434
332	217	434
333	217	433
334	217	432
335	218	432
336	219	431
337	219	429
338	219	428
339	220	427
340	220	426
341	221	425
342	221	424
343	221	422
344	222	421
345	222	420
346	222	419
347	223	418
348	223	417
349	224	416
350	225	416
351	225	415
352	226	414
353	227	414
354	228	414
355	228	414
356	229	413
357	229	412
358	230	411
359	230	410
360	231	409
361	231	407
362	231	406
363	232	405
364	232	404
365	233	404
366	234	403
367	234	402
368	234	401
369	235	400
370	235	399
371	236	398
372	236	397
373	236	396
374	237	395
375	238	396
376	239	395
377	240	395
378	241	395
379	242	395
380	243	396
381	245	396
382	245	395
383	246	394
384	246	393
385	246	392
386	247	391
387	247	390
388	248	390
389	249	389
390	250	390
391	250	389
392	251	388
393	251	387
394	252	386
395	253	386
396	253	385
397	254	384
398	255	384
399	255	383
400	256	383
401	256	382
402	257	381
403	257	380
404	258	379
405	258	378
406	258	377
407	259	376
408	259	375
409	260	374
410	260	373
411	261	372
412	261	371
413	261	370
414	262	369
415	262	368
416	263	367
417	263	366
418	263	365
419	264	364
420	265	364
421	265	364
422	266	363
423	267	362
424	267	362
425	269	363
426	270	363
427	271	362
428	272	362
429	272	361
430	272	360
431	273	359
432	273	358
433	274	357
434	274	356
435	274	355
436	275	354
437	275	353
438	275	352
439	276	351
440	276	350
441	277	349
442	277	349
443	277	348
444	278	347
445	278	346
446	279	345
447	280	345
448	281	345
449	281	344
450	282	343
451	284	344
452	284	343
453	285	342
454	285	341
455	285	340
456	286	340
457	286	339
458	287	338
459	287	337
460	287	336
461	288	335
462	288	334
463	289	333
464	289	333
465	289	332
466	290	331
467	290	330
468	291	329
469	291	329
470	292	328
471	293	328
472	294	328
473	295	328
474	297	328
475	298	328
476	298	327
477	299	327
478	299	326
479	300	325
480	300	324
481	301	323
482	301	322
483	301	321
484	302	320
485	302	319
486	302	319
487	303	318
488	303	317
489	304	317
490	305	316
491	305	315
492	306	314
493	307	315
494	308	314
495	308	313
496	309	312
497	309	311
498	309	311
499	310	310
500	310	309
501	310	308
502	311	307
503	311	306
504	311	305
505	311	304
506	312	303
507	312	302
508	312	301
509	313	300
510	313	300
511	313	299
512	314	298
513	314	297
514	315	296
515	315	295
516	316	295
517	316	294
518	317	294
519	318	294
520	319	293
521	319	292
522	320	291
523	320	291
524	320	290
525	321	289
526	321	288
527	322	287
528	322	287
529	322	286
530	323	286
531	324	285
532	324	284
533	325	283
534	325	283
535	326	282
536	326	281
537	327	280
538	327	280
539	327	279
540	328	278
541	328	277
542	328	276
543	329	275
544	329	275
545	330	274
546	330	273
547	331	273
548	331	272
549	333	272
550	334	272
551	334	271
552	335	270
553	335	270
554	336	269
555	336	268
556	336	267
557	337	267
558	337	266
559	337	265
560	338	264
561	338	264
562	339	263
563	339	262
564	340	261
565	340	261
566	341	260
567	341	259
568	341	258
569	342	258
570	342	257
571	342	256
572	343	255
573	343	255
574	345	255
575	347	255
576	347	254
577	348	254
578	349	253
579	349	253
580	350	252
581	350	251
582	351	251
583	351	250
584	352	249
585	352	249
586	352	248
587	353	247
588	353	246
589	353	245
590	354	245
591	354	244
592	354	243
593	355	242
594	355	242
595	356	241
596	356	240
597	356	239
598	357	239
599	357	238
600	358	237
601	358	237
602	359	236
603	359	235
604	360	235
605	361	234
606	361	234
607	361	233
608	362	232
609	362	232
610	363	231
611	363	230
612	363	229
613	364	229
614	365	228
615	365	227
616	365	227
617	366	226
618	366	225
619	367	224
620	367	224
621	367	223
622	368	222
623	368	222
624	368	221
625	369	220
626	369	219
627	370	219
628	370	218
629	370	217
630	371	217
631	371	216
632	371	215
633	372	215
634	373	214
635	376	215
636	377	214
637	377	214
638	377	213
639	379	213
640	380	212
641	380	212
642	381	211
643	381	210
644	382	210
645	382	209
646	382	208
647	383	208
648	383	207
649	384	206
650	384	206
651	384	205
652	385	204
653	385	204
654	386	203
655	386	202
656	386	201
657	387	201
658	387	200
659	388	199
660	388	199
661	389	198
662	390	198
663	390	197
664	390	196
665	391	196
666	391	195
667	393	195
668	393	194
669	393	193
670	394	193
671	394	192
672	394	191
673	395	191
674	395	190
675	396	189
676	396	189
677	396	188
678	397	187
679	397	187
680	398	186
681	398	185
682	399	185
683	400	185
684	401	184
685	401	183
686	403	183
687	403	183
688	404	182
689	404	181
690	405	181
691	405	180
692	406	180
693	406	179
694	407	178
695	407	178
696	408	177
697	408	176
698	409	176
699	409	175
700	410	174
701	410	174
702	410	173
703	411	172
704	411	172
705	411	171
706	412	170
707	412	170
708	413	169
709	413	168
710	414	168
711	414	167
712	414	166
713	415	166
714	415	165
715	416	165
716	417	164
717	417	163
718	417	163
719	418	162
720	418	162
721	419	161
722	419	160
723	420	160
724	420	159
725	421	158
726	421	158
727	421	157
728	422	156
729	422	156
730	422	155
731	423	155
732	423	154
733	424	153
734	424	153
735	425	152
736	425	151
737	425	151
738	426	150
739	426	149
740	426	149
741	427	148
742	427	147
743	428	147
744	428	146
745	429	146
746	429	145
747	430	145
748	431	144
749	431	143
750	432	143
751	432	142
752	433	142
753	434	141
754	434	141
755	435	140
756	435	139
757	436	139
758	436	138
759	437	138
760	437	137
761	437	136
762	438	136
763	438	135
764	438	134
765	439	134
766	439	133
767	439	132
768	440	132
769	440	131
770	441	131
771	441	130
772	442	129
773	442	129
774	442	128
775	443	127
776	443	127
777	444	126
778	445	126
779	445	125
780	446	125
781	446	124
782	447	123
783	447	123
784	447	122
785	448	122
786	448	121
787	449	120
788	449	120
789	449	119
790	450	118
791	450	118
792	451	117
793	451	117
794	451	116
795	452	115
796	452	115
797	452	114
798	453	114
799	453	113
800	454	112
801	454	112
802	454	111
803	455	110
804	455	110
805	456	109
806	457	109
807	458	109
808	459	108
809	460	108
810	460	107
811	461	106
812	462	106
813	463	105
814	463	105
815	464	104
816	464	104
817	464	103
818	465	102
819	465	102
820	466	101
821	466	101
822	466	100
823	467	99
824	467	99
825	468	98
826	468	97
827	469	97
828	469	96
829	470	96
830	470	95
831	471	95
832	471	94
833	472	93
834	472	93
835	472	92
836	473	92
837	473	91
838	474	91
839	474	90
840	475	89
841	475	89
842	476	88
843	476	88
844	477	87
845	477	86
846	477	86
847	478	85
848	478	85
849	478	84
850	479	83
851	479	83
852	480	82
853	480	82
854	481	81
855	481	80
856	481	80
857	482	79
858	482	79
859	483	78
860	483	78
861	483	77
862	484	76
863	485	76
864	486	75
865	487	75
866	488	74
867	488	74
868	489	73
869	490	73
870	490	72
871	491	72
872	491	71
873	492	70
874	492	70
875	493	69
876	493	69
877	493	68
878	494	68
879	494	67
880	495	66
881	495	66
882	495	65
883	496	65
884	496	64
885	496	63
886	497	63
887	497	62
888	497	62
889	499	61
890	500	61
891	501	60
892	501	60
893	502	59
894	502	58
895	503	58
896	504	57
897	504	57
898	505	56
899	505	56
900	505	55
901	506	55
902	506	54
903	507	53
904	507	53
905	508	52
906	508	52
907	508	51
908	509	50
909	509	50
910	510	49
911	510	49
912	510	48
913	511	48
914	511	47
915	512	46
916	512	46
917	513	45
918	514	45
919	515	44
920	516	44
921	516	43
922	517	43
923	518	42
924	518	42
925	519	41
926	519	40
927	519	40
928	520	39
929	520	39
930	521	38
931	521	38
932	522	37
933	522	36
934	522	36
935	523	35
936	523	35
937	523	34
938	524	34
939	524	33
940	525	32
941	525	32
942	526	31
943	526	31
944	526	30
945	527	30
946	527	29
947	528	28
948	529	28
949	529	27
950	530	27
951	530	26
952	531	26
953	532	25
954	532	25
955	532	24
956	533	23
957	533	23
958	534	22
959	534	22
960	534	21
961	535	21
962	535	20
963	536	20
964	536	19
965	537	18
966	537	18
967	537	17
968	538	17
969	538	16
970	538	16
971	539	15
972	539	14
973	540	14
974	540	13
975	541	13
976	543	12
977	543	12
978	544	11
979	545	11
980	546	10
981	546	10
982	546	9
983	547	8
984	548	8
985	548	7
986	549	7
987	550	6
988	550	6
989	550	5
990	551	5
991	551	4
992	552	3
993	552	3
994	552	2
995	553	2
996	553	1
997	554	1
998	554	0
999	555	0
